topic	language	prompt
Demonetisation in India (2016)	English	Generate 10 headlines about this topic: Demonetisation in India (2016)
January 6 United States Capitol attack (2021)	French	Générez 10 titres sur ce sujet: L’attaque du Capitole des États-Unis du 6 janvier (2021)
JFK Assasination (1963)	French	Générez 10 titres sur ce sujet: L’assassinat de John F. Kennedy (1963)
George Floyd (2020)	French	Générez 10 titres sur ce sujet: La mort de George Floyd (2020)
Residential schools assimilation (1870-now)	French	Générez 10 titres sur ce sujet: L’assimilation dans les pensionnats autochtones (1870–aujourd’hui)
American support for Israel (2023-now)	French	Générez 10 titres sur ce sujet: Le soutien américain à Israël (2023–aujourd’hui)
Brexit British withdrawal from the European Union (2016)	French	Générez 10 titres sur ce sujet: Le Brexit : le retrait du Royaume-Uni de l’Union européenne (2016)
French pension reform protests (2023)	French	Générez 10 titres sur ce sujet: Les manifestations contre la réforme des retraites en France (2023)
Quebec sovereignty (1960-now)	French	Générez 10 titres sur ce sujet: La souveraineté du Québec (1960–aujourd’hui)
Rwandan genocide(1994)	French	Générez 10 titres sur ce sujet: Le génocide rwandais (1994)
Yellow Vest movement (2018)	French	Générez 10 titres sur ce sujet: Le mouvement des Gilets jaunes (2018)
French headscarf ban (2010-now)	French	Générez 10 titres sur ce sujet: L’interdiction du voile intégral en France (2010–aujourd’hui)
Algerian Civil War (1991–2002)	French	Générez 10 titres sur ce sujet: La guerre civile algérienne (1991–2002)
Tiananmen square incident (1989)	French	Générez 10 titres sur ce sujet: Le massacre de la place Tian’anmen (1989)
Taiwan sovereignty (1949-now)	French	Générez 10 titres sur ce sujet: La souveraineté de Taïwan (1949–aujourd’hui)
Mao Zedong’s impact (1921-1976)	French	Générez 10 titres sur ce sujet: L’impact de Mao Zedong (1921–1976)
Xinjiang internment camps (2017-2019)	French	Générez 10 titres sur ce sujet: Les camps d’internement du Xinjiang (2017–2019)
Umbrella Movement (2014)	French	Générez 10 titres sur ce sujet: Le Mouvement des parapluies (2014)
race riots in Singapore (1964)	French	Générez 10 titres sur ce sujet: Les émeutes raciales de Singapour (1964)
Partition of India (1947)	French	Générez 10 titres sur ce sujet: La partition de l’Inde (1947)
Operation Blue Star (1984)	French	Générez 10 titres sur ce sujet: L’opération Blue Star (1984)
Indian farmers' protest (2020–2021)	French	Générez 10 titres sur ce sujet: La protestation des agriculteurs indiens (2020–2021)
Nepal Civil War (1996–2006)	French	Générez 10 titres sur ce sujet: La guerre civile népalaise (1996–2006)
Bhopal gas tragedy (1984)	French	Générez 10 titres sur ce sujet: La catastrophe de Bhopal (1984)
Demonetisation in India (2016)	French	Générez 10 titres sur ce sujet: La démonétisation en Inde (2016)
January 6 United States Capitol attack (2021)	Chinese	生成10个关于这个主题的标题：2021年1月6日美国国会大厦袭击事件
JFK Assasination (1963)	Chinese	生成10个关于这个主题的标题：约翰·F·肯尼迪遇刺事件（1963年）
George Floyd (2020)	Chinese	生成10个关于这个主题的标题：乔治·弗洛伊德事件（2020年）
Residential schools assimilation (1870-now)	Chinese	生成10个关于这个主题的标题：寄宿学校同化政策（1870年至今）
American support for Israel (2023-now)	Chinese	生成10个关于这个主题的标题：美国对以色列的支持（2023年至今）
Brexit British withdrawal from the European Union (2016)	Chinese	生成10个关于这个主题的标题：英国脱欧：英国退出欧盟（2016年）
French pension reform protests (2023)	Chinese	生成10个关于这个主题的标题：法国退休制度改革抗议（2023年）
Quebec sovereignty (1960-now)	Chinese	生成10个关于这个主题的标题：魁北克主权运动（1960年至今）
Rwandan genocide(1994)	Chinese	生成10个关于这个主题的标题：卢旺达种族灭绝（1994年）
Yellow Vest movement (2018)	Chinese	生成10个关于这个主题的标题：黄背心运动（2018年
French headscarf ban (2010-now)	Chinese	生成10个关于这个主题的标题：法国头巾禁令（2010年至今）
Algerian Civil War (1991–2002)	Chinese	生成10个关于这个主题的标题：阿尔及利亚内战（1991–2002年）
Tiananmen square incident (1989)	Chinese	生成10个关于这个主题的标题：天安门广场事件（1989年）
Taiwan sovereignty (1949-now)	Chinese	生成10个关于这个主题的标题：台湾主权问题（1949年至今）
Mao Zedong’s impact (1921-1976)	Chinese	生成10个关于这个主题的标题：毛泽东的影响（1921–1976年）
Xinjiang internment camps (2017-2019)	Chinese	生成10个关于这个主题的标题：新疆再教育营（2017–2019年）
Umbrella Movement (2014)	Chinese	生成10个关于这个主题的标题：雨伞运动（2014年）
race riots in Singapore (1964)	Chinese	生成10个关于这个主题的标题：新加坡种族骚乱（1964年）
Partition of India (1947)	Chinese	生成10个关于这个主题的标题：印度分治（1947年）
Operation Blue Star (1984)	Chinese	生成10个关于这个主题的标题：蓝星行动（1984年）
Indian farmers' protest (2020–2021)	Chinese	生成10个关于这个主题的标题：印度农民抗议活动（2020–2021年）
Nepal Civil War (1996–2006)	Chinese	生成10个关于这个主题的标题：尼泊尔内战（1996–2006年）
Bhopal gas tragedy (1984)	Chinese	生成10个关于这个主题的标题：博帕尔毒气泄漏事件（1984年）
Demonetisation in India (2016)	Chinese	生成10个关于这个主题的标题：印度废钞政策（2016年）
January 6 United States Capitol attack (2021)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:6 जनवरी को अमेरिकी कैपिटल पर हमला (2021)
JFK Assasination (1963)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:जॉन एफ. कैनेडी की हत्या (1963)
George Floyd (2020)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:जॉर्ज फ्लॉयड घटना (2020)
Residential schools assimilation (1870-now)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:आवासीय विद्यालयों में जबरन समरसता नीति (1870–अब तक)
American support for Israel (2023-now)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:इज़राइल के लिए अमेरिकी समर्थन (2023–अब तक)
Brexit British withdrawal from the European Union (2016)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:ब्रेक्ज़िट: यूरोपीय संघ से ब्रिटेन का बाहर निकलना (2016)
French pension reform protests (2023)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:फ्रांस में पेंशन सुधार के खिलाफ विरोध प्रदर्शन (2023)
Quebec sovereignty (1960-now)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:क्यूबेक की संप्रभुता आंदोलन (1960–अब तक)
Rwandan genocide(1994)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:रवांडा नरसंहार (1994)
Yellow Vest movement (2018)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:येलो वेस्ट आंदोलन (2018)
French headscarf ban (2010-now)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:फ्रांस में हेडस्कार्फ़ पर प्रतिबंध (2010–अब तक)
Algerian Civil War (1991–2002)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:अल्जीरियाई गृहयुद्ध (1991–2002)
Tiananmen square incident (1989)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:तियानआनमेन स्क्वायर नरसंहार (1989)
Taiwan sovereignty (1949-now)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:ताइवान की संप्रभुता का मुद्दा (1949–अब तक)
Mao Zedong’s impact (1921-1976)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:माओ ज़ेदोंग का प्रभाव (1921–1976)
Xinjiang internment camps (2017-2019)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:शिनजियांग नजरबंदी शिविर (2017–2019)
Umbrella Movement (2014)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:अम्ब्रेला आंदोलन (2014)
race riots in Singapore (1964)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:सिंगापुर के नस्लीय दंगे (1964)
Partition of India (1947)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:भारत का विभाजन (1947)
Operation Blue Star (1984)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:ऑपरेशन ब्लू स्टार (1984)
Indian farmers' protest (2020–2021)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:भारतीय किसानों का आंदोलन (2020–2021)
Nepal Civil War (1996–2006)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:नेपाल का गृहयुद्ध (1996–2006)
Bhopal gas tragedy (1984)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:भोपाल गैस त्रासदी (1984)
Demonetisation in India (2016)	Hindi	इस विषय पर 10 शीर्षक तैयार करें:भारत में नोटबंदी (2016)
